Case ID,Field,Annotator A,Annotator B,Source Link(s) / Citation(s)
5,Temporal Pattern,Single event,Recurring incidents,https://incidentdatabase.ai/cite/303
5,Impact Dimension(s),Civil rights / fairness / access; Privacy / data protection; Reputational / trust,Service / operational; Privacy / data protection; Legal / regulatory,https://incidentdatabase.ai/cite/303
5,Recovery / Maintenance Action(s),Affected-case review/redress; Organizational/process change; Policy/governance change,Affected-case review/redress; Fallback/human-escalation addition; Policy/governance change,https://incidentdatabase.ai/cite/303
5,Causal Location(s),Model; Human/Organizational Governance,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/303
6,Detection Signal,Behavioral anomaly,Consequence-based,https://incidentdatabase.ai/cite/304
6,Risk Domain,Safety & Health,Human Autonomy & Oversight,https://incidentdatabase.ai/cite/304
6,Impact Dimension(s),Physical safety / health; Service / operational; Financial / economic,Physical safety / health; Service / operational,https://incidentdatabase.ai/cite/304
6,Recovery / Maintenance Action(s),Model/subsystem replacement; Legal/regulatory remediation,Software/pipeline repair; Fallback/human-escalation addition; Downstream validation addition,https://incidentdatabase.ai/cite/304
6,Causal Location(s),Software/Implementation; Human/Organizational Governance,Model; Software/Implementation; Integration/Interface,https://incidentdatabase.ai/cite/304
7,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/305
7,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change; Policy/governance change,Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/305
8,Propagation Reach,P1 - Single downstream component/decision,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/313
8,Industry,Technology & AI Services,Social Media & Platforms,https://incidentdatabase.ai/cite/313
8,Amplification,N,Y,https://incidentdatabase.ai/cite/313
8,Impact Dimension(s),Information integrity; Reputational / trust; Legal / regulatory,Reputational / trust; Information integrity; Psychological / social,https://incidentdatabase.ai/cite/313
8,Recovery / Maintenance Action(s),Local rollback/content correction; Legal/regulatory remediation,Local rollback/content correction; Downstream validation addition,https://incidentdatabase.ai/cite/313
8,Causal Location(s),Model; Integration/Interface,Model,https://incidentdatabase.ai/cite/313
9,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/685
9,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/685
9,Manifestation Pattern,Incorrect recommendation / ranking / amplification,Hallucinated / fabricated output,https://incidentdatabase.ai/cite/685
9,Amplification,N,Y,https://incidentdatabase.ai/cite/685
9,Impact Dimension(s),Physical safety / health; Reputational / trust,Physical safety / health; Service / operational; Reputational / trust,https://incidentdatabase.ai/cite/685
9,Recovery / Maintenance Action(s),Model retraining/revalidation; Major algorithm redesign; Organizational/process change,Model retraining/revalidation; Fallback/human-escalation addition; Policy/governance change,https://incidentdatabase.ai/cite/685
9,Causal Location(s),Model,Model; Operational Process,https://incidentdatabase.ai/cite/685
10,Risk Domain,"Fairness, Civil Rights & Access",Safety & Health,https://incidentdatabase.ai/cite/608
10,Failure Mode(s),Capability Limitation,Objective/Metric Misalignment,https://incidentdatabase.ai/cite/608
10,Recovery / Maintenance Action(s),Major algorithm redesign; Affected-case review/redress; Policy/governance change,Affected-case review/redress; Interface/workflow/component modification; Legal/regulatory remediation,https://incidentdatabase.ai/cite/608
10,Causal Location(s),Model,Model; Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/608
11,System Type,Decision-Support/Optimization System,Predictive/Scoring Model,https://incidentdatabase.ai/cite/603
11,Manifestation Pattern,Incorrect score / prediction / allocation,Biased / disparate decision,https://incidentdatabase.ai/cite/603
11,Detector,Third party,Regulator/legal,https://incidentdatabase.ai/cite/603
11,Recovery / Maintenance Action(s),Major algorithm redesign; Policy/governance change; Legal/regulatory remediation,Model retraining/revalidation; Affected-case review/redress; Policy/governance change,https://incidentdatabase.ai/cite/603
11,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/603
12,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/449
12,Amplification,N,Y,https://incidentdatabase.ai/cite/449
12,Temporal Pattern,Single event,Ongoing pattern,https://incidentdatabase.ai/cite/449
12,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/449
12,Impact Dimension(s),Psychological / social; Legal / regulatory; Reputational / trust,Psychological / social; Privacy / data protection; Reputational / trust,https://incidentdatabase.ai/cite/449
12,Recovery / Maintenance Action(s),Policy/governance change,Service suspension/retirement; Policy/governance change,https://incidentdatabase.ai/cite/449
12,Causal Location(s),Operational Process; Human/Organizational Governance,Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/449
13,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/364
13,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/364
13,Amplification,N,Y,https://incidentdatabase.ai/cite/364
13,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/364
13,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/364
13,Impact Dimension(s),Physical safety / health; Service / operational; Education / employment,Physical safety / health; Service / operational,https://incidentdatabase.ai/cite/364
13,Recovery / Maintenance Action(s),Threshold/configuration adjustment; Policy/governance change,Threshold/configuration adjustment; Interface/workflow/component modification; Organizational/process change,https://incidentdatabase.ai/cite/364
13,Causal Location(s),Model,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/364
14,Manifestation Pattern,Incorrect score / prediction / allocation,Biased / disparate decision,https://incidentdatabase.ai/cite/124
14,Recovery / Maintenance Action(s),Local rollback/content correction; Model/subsystem replacement; Major algorithm redesign,Data correction; Model retraining/revalidation; Affected-case review/redress,https://incidentdatabase.ai/cite/124
15,Risk Domain,"Social, Psychological & Trust","Fairness, Civil Rights & Access",https://incidentdatabase.ai/cite/36
15,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/36
15,Impact Dimension(s),Psychological / social; Reputational / trust,Reputational / trust,https://incidentdatabase.ai/cite/36
15,Recovery / Maintenance Action(s),Local rollback/content correction,Software/pipeline repair; Local rollback/content correction,https://incidentdatabase.ai/cite/36
15,Causal Location(s),Model,Model; Software/Implementation; Integration/Interface,https://incidentdatabase.ai/cite/36
16,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/311
16,Risk Domain,"Fairness, Civil Rights & Access",Information Integrity & Content Harm,https://incidentdatabase.ai/cite/311
16,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/311
16,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/311
16,Impact Dimension(s),Education / employment; Service / operational; Financial / economic,Financial / economic; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/311
16,Recovery / Maintenance Action(s),Organizational/process change,Local rollback/content correction; Fallback/human-escalation addition; Organizational/process change,https://incidentdatabase.ai/cite/311
16,Causal Location(s),Model,Model; Operational Process,https://incidentdatabase.ai/cite/311
17,Recovery / Maintenance Action(s),Major algorithm redesign; Legal/regulatory remediation,Model retraining/revalidation; Fallback/human-escalation addition; Legal/regulatory remediation,https://incidentdatabase.ai/cite/321
17,Causal Location(s),Model,Model; Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/321
18,Temporal Pattern,Recurring incidents,Single event,https://incidentdatabase.ai/cite/323
18,Recovery / Maintenance Action(s),Major algorithm redesign; Legal/regulatory remediation,Model retraining/revalidation; Fallback/human-escalation addition; Legal/regulatory remediation,https://incidentdatabase.ai/cite/323
18,Causal Location(s),Model,Model; Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/323
19,Risk Domain,"Legal, Regulatory & Governance","Fairness, Civil Rights & Access",https://incidentdatabase.ai/cite/331
19,Impact Dimension(s),Civil rights / fairness / access; Information integrity; Legal / regulatory,Civil rights / fairness / access,https://incidentdatabase.ai/cite/331
19,Recovery / Maintenance Action(s),Local rollback/content correction,Software/pipeline repair; Monitoring/drift-detection addition,https://incidentdatabase.ai/cite/331
19,Causal Location(s),Software/Implementation,Software/Implementation; Model,https://incidentdatabase.ai/cite/331
20,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/74
20,Amplification,N,Y,https://incidentdatabase.ai/cite/74
20,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/74
20,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/74
20,Impact Dimension(s),Civil rights / fairness / access; Psychological / social; Financial / economic,Financial / economic; Civil rights / fairness / access; Reputational / trust,https://incidentdatabase.ai/cite/74
20,Recovery / Maintenance Action(s),Model/subsystem replacement; Policy/governance change; Legal/regulatory remediation,Affected-case review/redress; Policy/governance change; Legal/regulatory remediation,https://incidentdatabase.ai/cite/74
20,Causal Location(s),Data; Model,Data; Model; Operational Process,https://incidentdatabase.ai/cite/74
21,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/76
21,Detector,Researcher/media,Third party,https://incidentdatabase.ai/cite/76
21,Detection Signal,Pattern/statistical,Behavioral anomaly,https://incidentdatabase.ai/cite/76
21,Failure Mode(s),Safety Validation/Oversight Gap,Design/Implementation Defect,https://incidentdatabase.ai/cite/76
21,Recovery / Maintenance Action(s),Service suspension/retirement; Legal/regulatory remediation,Service suspension/retirement; Affected-case review/redress; Legal/regulatory remediation,https://incidentdatabase.ai/cite/76
21,Causal Location(s),Operational Process; Human/Organizational Governance,Data; Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/76
22,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/532
22,Amplification,N,Y,https://incidentdatabase.ai/cite/532
22,Detection Signal,Behavioral anomaly,Contestation/appeal,https://incidentdatabase.ai/cite/532
22,Impact Dimension(s),Civil rights / fairness / access; Legal / regulatory; Psychological / social,Financial / economic; Civil rights / fairness / access; Legal / regulatory,https://incidentdatabase.ai/cite/532
22,Recovery / Maintenance Action(s),Downstream validation addition; Affected-case review/redress; Policy/governance change,Model retraining/revalidation; Fallback/human-escalation addition; Affected-case review/redress,https://incidentdatabase.ai/cite/532
22,Causal Location(s),Data; Model,Data; Model; Integration/Interface,https://incidentdatabase.ai/cite/532
23,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/592
23,Amplification,N,Y,https://incidentdatabase.ai/cite/592
23,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/592
23,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/592
23,Impact Dimension(s),Civil rights / fairness / access; Physical safety / health; Psychological / social,Physical safety / health; Financial / economic; Civil rights / fairness / access,https://incidentdatabase.ai/cite/592
23,Recovery / Maintenance Action(s),Model retraining/revalidation,Affected-case review/redress; Policy/governance change; Legal/regulatory remediation,https://incidentdatabase.ai/cite/592
23,Causal Location(s),Data; Model,Data; Model; Operational Process,https://incidentdatabase.ai/cite/592
24,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/591
24,Detection Signal,Contestation/appeal,Pattern/statistical,https://incidentdatabase.ai/cite/591
24,Risk Domain,"Fairness, Civil Rights & Access",Safety & Health,https://incidentdatabase.ai/cite/591
24,Failure Mode(s),Design/Implementation Defect,Objective/Metric Misalignment,https://incidentdatabase.ai/cite/591
24,Recovery / Maintenance Action(s),Major algorithm redesign; Policy/governance change; Legal/regulatory remediation,Affected-case review/redress; Interface/workflow/component modification; Legal/regulatory remediation,https://incidentdatabase.ai/cite/591
24,Causal Location(s),Software/Implementation; Human/Organizational Governance; Integration/Interface,Model; Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/591
25,Detection Signal,Explicit error/alarm,Consequence-based,https://incidentdatabase.ai/cite/595
25,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/595
25,Impact Dimension(s),Service / operational; Physical safety / health; Reputational / trust,Physical safety / health; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/595
25,Recovery / Maintenance Action(s),Software/pipeline repair,Software/pipeline repair; Fallback/human-escalation addition; Interface/workflow/component modification,https://incidentdatabase.ai/cite/595
25,Causal Location(s),Infrastructure/Dependency,Infrastructure/Dependency; Software/Implementation; Operational Process,https://incidentdatabase.ai/cite/595
26,Propagation Reach,P1 - Single downstream component/decision,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/587
26,Recovery Complexity,High,Severe,https://incidentdatabase.ai/cite/587
26,Amplification,N,Y,https://incidentdatabase.ai/cite/587
26,Detection Signal,Contestation/appeal,Behavioral anomaly,https://incidentdatabase.ai/cite/587
26,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/587
26,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/587
26,Failure Mode(s),Representation/Low-Resource Gap,Bias & Discrimination,https://incidentdatabase.ai/cite/587
26,Impact Dimension(s),Civil rights / fairness / access; Reputational / trust,Civil rights / fairness / access,https://incidentdatabase.ai/cite/587
26,Recovery / Maintenance Action(s),Model retraining/revalidation; Local rollback/content correction,Data correction; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/587
26,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/587
27,Impact Dimension(s),Physical safety / health; Information integrity; Reputational / trust,Physical safety / health; Reputational / trust,https://incidentdatabase.ai/cite/594
27,Recovery / Maintenance Action(s),Organizational/process change,Local rollback/content correction; Downstream validation addition; Service suspension/retirement,https://incidentdatabase.ai/cite/594
27,Causal Location(s),Model; Operational Process,Model; Integration/Interface,https://incidentdatabase.ai/cite/594
28,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/609
28,Impact Dimension(s),Information integrity; Reputational / trust,Information integrity; Reputational / trust; Education / employment,https://incidentdatabase.ai/cite/609
28,Recovery / Maintenance Action(s),Downstream validation addition,Local rollback/content correction; Downstream validation addition,https://incidentdatabase.ai/cite/609
28,Causal Location(s),Data; Integration/Interface,Model; Integration/Interface,https://incidentdatabase.ai/cite/609
29,Detection Signal,Contestation/appeal,Pattern/statistical,https://incidentdatabase.ai/cite/611
29,Impact Dimension(s),Civil rights / fairness / access; Financial / economic; Legal / regulatory,Financial / economic; Service / operational; Civil rights / fairness / access,https://incidentdatabase.ai/cite/611
29,Recovery / Maintenance Action(s),Model retraining/revalidation,Model retraining/revalidation; Affected-case review/redress; Policy/governance change,https://incidentdatabase.ai/cite/611
29,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/611
30,Failure Category,Distributional,Operational,https://incidentdatabase.ai/cite/78
30,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/78
30,Detection Signal,Consequence-based,Behavioral anomaly,https://incidentdatabase.ai/cite/78
30,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/78
30,Failure Mode(s),Data/Domain Shift,Capability Limitation,https://incidentdatabase.ai/cite/78
30,Recovery / Maintenance Action(s),Affected-case review/redress,Affected-case review/redress; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/78
30,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/78
31,System Type,Classification/Recognition System,Autonomous Control/Robotics System,https://incidentdatabase.ai/cite/80
31,Recovery / Maintenance Action(s),Threshold/configuration adjustment; Organizational/process change,Model retraining/revalidation; Fallback/human-escalation addition,https://incidentdatabase.ai/cite/80
32,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/83
32,Risk Assessment,Severe,Moderate,https://incidentdatabase.ai/cite/83
32,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/83
32,Impact Dimension(s),Civil rights / fairness / access; Education / employment; Service / operational,Civil rights / fairness / access; Education / employment,https://incidentdatabase.ai/cite/83
32,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change,Threshold/configuration adjustment; Model retraining/revalidation; Fallback/human-escalation addition,https://incidentdatabase.ai/cite/83
33,Propagation Reach,P3 - Cross-organizational/ecosystem/public-scale,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/86
33,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/86
33,Impact Dimension(s),Education / employment; Civil rights / fairness / access; Legal / regulatory,Civil rights / fairness / access; Education / employment,https://incidentdatabase.ai/cite/86
33,Recovery / Maintenance Action(s),Legal/regulatory remediation,Software/pipeline repair; Affected-case review/redress; Organizational/process change,https://incidentdatabase.ai/cite/86
33,Causal Location(s),Software/Implementation,Software/Implementation; Operational Process,https://incidentdatabase.ai/cite/86
34,Propagation Reach,P2 - Multi-component/workflow/system-wide,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/92
34,Risk Assessment,Severe,High,https://incidentdatabase.ai/cite/92
34,Detection Timing,Delayed,Immediate,https://incidentdatabase.ai/cite/92
34,Impact Dimension(s),Civil rights / fairness / access; Financial / economic; Legal / regulatory,Financial / economic; Civil rights / fairness / access,https://incidentdatabase.ai/cite/92
34,Recovery / Maintenance Action(s),Legal/regulatory remediation,Model retraining/revalidation; Affected-case review/redress; Policy/governance change,https://incidentdatabase.ai/cite/92
34,Causal Location(s),Data; Model,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/92
35,Industry,Social Media & Platforms,Technology & AI Services,https://incidentdatabase.ai/cite/106
35,Detection Signal,Behavioral anomaly,Contestation/appeal,https://incidentdatabase.ai/cite/106
35,Risk Domain,Privacy & Data Protection,"Fairness, Civil Rights & Access",https://incidentdatabase.ai/cite/106
35,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/106
35,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/106
35,Recovery / Maintenance Action(s),Service suspension/retirement; Policy/governance change,Service suspension/retirement; Data correction; Policy/governance change,https://incidentdatabase.ai/cite/106
35,Causal Location(s),Data; Model; Operational Process,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/106
36,Industry,Security & Law Enforcement,"Finance, Retail & Commerce",https://incidentdatabase.ai/cite/108
36,Detector,Third party,Affected user,https://incidentdatabase.ai/cite/108
36,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/108
36,Temporal Pattern,Recurring incidents,Single event,https://incidentdatabase.ai/cite/108
36,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/108
36,Impact Dimension(s),Civil rights / fairness / access; Psychological / social; Reputational / trust,Civil rights / fairness / access,https://incidentdatabase.ai/cite/108
36,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change; Policy/governance change,Threshold/configuration adjustment; Affected-case review/redress; Organizational/process change,https://incidentdatabase.ai/cite/108
36,Causal Location(s),Data; Model,Data; Model; Integration/Interface,https://incidentdatabase.ai/cite/108
37,System Type,Recommendation/Ranking System,Classification/Recognition System,https://incidentdatabase.ai/cite/113
37,Manifestation Pattern,Multiple - specify,Misclassification / false positive,https://incidentdatabase.ai/cite/113
37,Detector,Operator,Organization,https://incidentdatabase.ai/cite/113
37,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/113
37,Impact Dimension(s),Civil rights / fairness / access; Psychological / social; Reputational / trust,Civil rights / fairness / access; Psychological / social,https://incidentdatabase.ai/cite/113
37,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change,Service suspension/retirement; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/113
37,Causal Location(s),Data; Model; Human/Organizational Governance,Data; Model,https://incidentdatabase.ai/cite/113
38,Propagation Reach,P1 - Single downstream component/decision,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/114
38,Amplification,N,Y,https://incidentdatabase.ai/cite/114
38,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/114
38,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/114
38,Detection Timing,Immediate,Retrospective,https://incidentdatabase.ai/cite/114
38,Impact Dimension(s),Civil rights / fairness / access; Legal / regulatory; Reputational / trust,Civil rights / fairness / access,https://incidentdatabase.ai/cite/114
38,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change; Legal/regulatory remediation,Threshold/configuration adjustment; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/114
39,Risk Assessment,High,Moderate,https://incidentdatabase.ai/cite/115
39,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/115
39,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/115
39,Impact Dimension(s),Civil rights / fairness / access; Education / employment; Reputational / trust,Civil rights / fairness / access,https://incidentdatabase.ai/cite/115
39,Recovery / Maintenance Action(s),Service suspension/retirement; Affected-case review/redress,Service suspension/retirement; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/115
40,System Type,Surveillance/Identification System,Moderation/Filtering/Detection System,https://incidentdatabase.ai/cite/116
40,Industry,Education & Workforce,Transportation & Automotive,https://incidentdatabase.ai/cite/116
40,Detection Signal,Contestation/appeal,Pattern/statistical,https://incidentdatabase.ai/cite/116
40,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/116
40,Recovery / Maintenance Action(s),Model retraining/revalidation; Affected-case review/redress; Organizational/process change,Threshold/configuration adjustment; Affected-case review/redress; Organizational/process change,https://incidentdatabase.ai/cite/116
40,Causal Location(s),Model,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/116
41,Impact Dimension(s),Civil rights / fairness / access; Education / employment; Financial / economic,Financial / economic; Civil rights / fairness / access,https://incidentdatabase.ai/cite/117
41,Recovery / Maintenance Action(s),Model retraining/revalidation; Local rollback/content correction; Organizational/process change,Model retraining/revalidation; Monitoring/drift-detection addition; Policy/governance change,https://incidentdatabase.ai/cite/117
42,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/646
42,Amplification,N,Y,https://incidentdatabase.ai/cite/646
42,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/646
42,Impact Dimension(s),Physical safety / health; Psychological / social; Legal / regulatory,Physical safety / health,https://incidentdatabase.ai/cite/646
42,Recovery / Maintenance Action(s),Major algorithm redesign; Legal/regulatory remediation,Threshold/configuration adjustment; Downstream validation addition; Policy/governance change,https://incidentdatabase.ai/cite/646
42,Causal Location(s),Operational Process; Human/Organizational Governance,Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/646
43,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/647
43,Impact Dimension(s),Physical safety / health; Reputational / trust,Physical safety / health,https://incidentdatabase.ai/cite/647
43,Recovery / Maintenance Action(s),Legal/regulatory remediation,Model retraining/revalidation; Software/pipeline repair; Legal/regulatory remediation,https://incidentdatabase.ai/cite/647
43,Causal Location(s),Model,Model; Integration/Interface,https://incidentdatabase.ai/cite/647
44,Propagation Reach,P1 - Single downstream component/decision,P3 - Cross-organizational/ecosystem/public-scale,https://incidentdatabase.ai/cite/654
44,Amplification,N,Y,https://incidentdatabase.ai/cite/654
44,Detector,Operator,Organization,https://incidentdatabase.ai/cite/654
44,Detection Signal,Behavioral anomaly,Pattern/statistical,https://incidentdatabase.ai/cite/654
44,Temporal Pattern,Ongoing pattern,Recurring incidents,https://incidentdatabase.ai/cite/654
44,Detection Timing,Delayed,Retrospective,https://incidentdatabase.ai/cite/654
44,Impact Dimension(s),Psychological / social; Information integrity; Reputational / trust,Physical safety / health; Civil rights / fairness / access; Psychological / social,https://incidentdatabase.ai/cite/654
44,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change; Legal/regulatory remediation,Threshold/configuration adjustment; Model retraining/revalidation; Policy/governance change,https://incidentdatabase.ai/cite/654
45,Risk Domain,Privacy & Data Protection,Information Integrity & Content Harm,https://incidentdatabase.ai/cite/662
45,Recovery Evidence Status,Documented,Inferred,https://incidentdatabase.ai/cite/662
45,Impact Dimension(s),Privacy / data protection; Psychological / social; Reputational / trust,Physical safety / health; Psychological / social,https://incidentdatabase.ai/cite/662
45,Recovery / Maintenance Action(s),Local rollback/content correction; Policy/governance change,Local rollback/content correction; Downstream validation addition,https://incidentdatabase.ai/cite/662
45,Causal Location(s),Model; Operational Process,Model; Integration/Interface,https://incidentdatabase.ai/cite/662
46,Industry,Security & Law Enforcement,"Finance, Retail & Commerce",https://incidentdatabase.ai/cite/665
46,Temporal Pattern,Ongoing pattern,Single event,https://incidentdatabase.ai/cite/665
46,Impact Dimension(s),Civil rights / fairness / access; Psychological / social; Reputational / trust,Civil rights / fairness / access,https://incidentdatabase.ai/cite/665
46,Recovery / Maintenance Action(s),Model retraining/revalidation; Organizational/process change; Policy/governance change,Threshold/configuration adjustment; Affected-case review/redress; Organizational/process change,https://incidentdatabase.ai/cite/665
