Case ID,Source Link(s) / Citation(s),Date,Entity,System Type,Title,Industry,Application Domain,Failure Category,Failure Mode(s),Manifestation Pattern,Manifestation — Brief Description,Propagation Reach,Boundary Transfer,Transfer Mode,Amplification,Propagation Chain,Detection Timing,Detector,Detection Signal,Impact Dimension(s),Risk Assessment,Risk Domain,Risk Subdomain,Recovery Complexity,Recovery Evidence Status,Recovery / Maintenance Action(s),Causal Location(s),Causal Mechanism,Missing Safeguard,Root Cause Description,Lifecycle Phase,Temporal Pattern,Timing / Period,Incident Year,Analysis Primary Category,Analysis Subcategory,Analysis Risk Level,Analysis Sector,Analysis Recovery Level,Propagation Level,Propagation Label
25,https://incidentdatabase.ai/cite/595,2023-08-11,Cruise,Autonomous Control/Robotics System,Driverless Cruise Cars Immobilized in San Francisco Traffic Jam,Transportation & Automotive,Autonomous vehicle navigation and fleet management systems,Operational,Infrastructure/Dependency Failure,Service disruption / unavailability,Multiple Cruise vehicles became immobilized and blocked streets during a network disruption.,P2 — Multi-component/workflow/system-wide,Y,Signaled,Y,Cellular Network Overload → AI Vehicle Connectivity Loss → Remote Control System Failure → Vehicle Immobilization → Traffic Blockage → Emergency Access Prevention → Public Safety Risk,Immediate,Operator,Explicit error/alarm,Service / operational; Civil rights / fairness / access; Physical safety / health,High,Service Reliability & Operations,Fleet connectivity failure,Moderate,Inferred,Software/pipeline repair,Infrastructure/Dependency,Cruise autonomous vehicles designed with critical dependency on wireless connectivity for remote fleet management; AI system lacked offline operation capabilities when cellular network became overloaded during large public event; failure to anticipate and plan for network congestion scenarios; insufficient failsafe mechanisms for connectivity loss situations,resilient fallback and dependency-failure handling,Cruise autonomous vehicles designed with critical dependency on wireless connectivity for remote fleet management; AI system lacked offline operation capabilities when cellular network became overloaded during large public event; failure to anticipate and plan for network congestion scenarios; insufficient failsafe mechanisms for connectivity loss situations. Safeguards for resilient fallback and dependency-failure handling were absent or inadequate.,Post-deployment,Single event,,2023,Operational,Design & Implementation,High,Transportation & Automotive,Moderate,P2,Multi-component/workflow/system-wide
26,https://incidentdatabase.ai/cite/587,2023-05-22,Google (and other tech companies),Classification/Recognition System,Image-recognition systems stopped labeling primates after reported bias concerns,Technology & AI Services,AI-powered image analysis and automatic photo labeling systems,Distributional,Bias & Discrimination,False negative / omission,Image-recognition systems omitted labels for gorillas and other primates rather than classify them.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,Biased Training Data → Racist AI Classifications → Public Discovery → Offensive Labeling → Civil Rights Violations → Feature Disabling → Industry-Wide Avoidance → Persistent Bias Problems,Delayed,Affected user,Contestation/appeal,Civil rights / fairness / access; Reputational / trust,High,"Fairness, Civil Rights & Access",AI-generated racist content through biased training data,Severe,Inferred,Model retraining/revalidation,Data; Model,Image recognition AI trained on datasets with insufficient representation of Black individuals; system unfamiliar with darker-skinned people leading to catastrophic misclassification; fundamental training data bias creating racist outputs; industry response of feature disabling rather than bias remediation demonstrates systemic avoidance of underlying fairness issues,representative low-resource data and subgroup validation,Image recognition AI trained on datasets with insufficient representation of Black individuals; system unfamiliar with darker-skinned people leading to catastrophic misclassification; fundamental training data bias creating racist outputs; industry response of feature disabling rather than bias remediation demonstrates systemic avoidance of underlying fairness issues. Safeguards for representative low-resource data and subgroup validation were absent or inadequate.,Post-deployment,Ongoing pattern,The workaround remained in place more than eight years after the original bias report.,2023,Distributional,Bias & Discrimination,High,Technology & AI Services,Severe,P3,Cross-organizational/ecosystem/public-scale
27,https://incidentdatabase.ai/cite/594,2023-08-10,Pak 'n' Save,Generative/Conversational System,AI Meal Planner Suggests Hazardous Chlorine Gas Recipe,"Finance, Retail & Commerce",AI-powered recipe generation and meal planning systems,Operational,Content Generation/Filtering Failure,Hallucinated / fabricated output,The meal-planning chatbot generated a recipe that would produce chlorine gas.,P1 — Single downstream component/decision,Y,Silent,N,AI Recipe Generation → Dangerous Chemical Instructions → Social Media Sharing → Viral Spread → Potential User Harm → Public Safety Risk → Regulatory Scrutiny,Immediate,Affected user,Behavioral anomaly,Physical safety / health; Reputational / trust; Information integrity,High,Safety & Health,AI-generated dangerous content in consumer applications,Moderate,Inferred,Organizational/process change,Model; Software/Implementation; Operational Process,Meal planning AI designed without adequate safety validation or input filtering; system treated all user inputs as valid recipe ingredients regardless of toxicity; lack of chemical safety knowledge or hazardous substance detection; AI optimized for recipe generation without considering potential for dangerous content creation when misused.,effective safety filtering and output review,Meal planning AI designed without adequate safety validation or input filtering; system treated all user inputs as valid recipe ingredients regardless of toxicity; lack of chemical safety knowledge or hazardous substance detection; AI optimized for recipe generation without considering potential for dangerous content creation when misused. Safeguards for effective safety filtering and output review were absent or inadequate.,Post-deployment,Single event,,2023,Operational,Content Generation,High,"Finance, Retail & Commerce",Moderate,P1,Single downstream component/decision
28,https://incidentdatabase.ai/cite/609,2023-08-16,Google,Generative/Conversational System,Flawed AI in Google Search Reportedly Misinforms about Geography,Technology & AI Services,AI-powered search engines and information retrieval systems,Operational,Information Quality/Input Handling Failure,Hallucinated / fabricated output,Google’s AI search feature generated confidently incorrect geographic information.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI-Generated Content → Web Indexing → Search Algorithm Processing → Featured Snippet Display → Viral Social Media Spread → Mass Misinformation Distribution → Authority-Backed False Information,Immediate,Affected user,Behavioral anomaly,Information integrity; Reputational / trust; Education / employment,Moderate,Information Integrity & Content Harm,search system amplifying false geographical information,Moderate,Inferred,Downstream validation addition,Integration/Interface; Data,Google's search algorithms and SGE lacked adequate fact verification mechanisms to prevent indexing and amplifying AI-generated misinformation; system treated AI-generated false content as authoritative source; search algorithms prioritized and featured incorrect information without basic geographical fact-checking; experimental SGE demonstrated fundamental failures in factual accuracy and knowledge representation,authoritative data grounding and output verification,Google's search algorithms and SGE lacked adequate fact verification mechanisms to prevent indexing and amplifying AI-generated misinformation; system treated AI-generated false content as authoritative source; search algorithms prioritized and featured incorrect information without basic geographical fact-checking; experimental SGE demonstrated fundamental failures in factual accuracy and knowledge representation. Safeguards for authoritative data grounding and output verification were absent or inadequate.,Post-deployment,Ongoing pattern,,2023,Operational,Information Quality,Moderate,Technology & AI Services,Moderate,P3,Cross-organizational/ecosystem/public-scale
29,https://incidentdatabase.ai/cite/611,2021-12-06,UK Government (Multiple Departments),Composite/Multi-System AI,UK Government AI Allegedly Targets Disproportionate Numbers of Certain Nationals for Fraud Review,Government & Public Services,"Government AI for welfare, immigration, and criminal justice decision-making",Distributional,Bias & Discrimination,Biased / disparate decision,Government fraud-detection systems disproportionately selected several nationalities for additional review.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Algorithm Bias → Government Decision Systems → Benefit Suspensions → Financial Hardship → Homelessness Risk → Civil Rights Violations → Democratic Accountability Erosion → Systemic Discrimination,Retrospective,Regulator/legal,Pattern/statistical,Financial / economic; Service / operational; Civil rights / fairness / access,Severe,"Fairness, Civil Rights & Access",Nationality-biased public-service targeting,Severe,Inferred,Model retraining/revalidation,Data; Model,Multiple UK government AI systems deployed with insufficient bias testing and demographic representation; £70M investment in benefit fraud detection AI showed systematic bias against Bulgarian nationals and older claimants; facial recognition systems biased against Black individuals; marriage screening algorithms targeting specific nationalities; lack of transparency and accountability mechanisms across government AI deployment,"representative data, subgroup testing, and fairness monitoring","Multiple UK government AI systems deployed with insufficient bias testing and demographic representation; £70M investment in benefit fraud detection AI showed systematic bias against Bulgarian nationals and older claimants; facial recognition systems biased against Black individuals; marriage screening algorithms targeting specific nationalities; lack of transparency and accountability mechanisms across government AI deployment. Safeguards for representative data, subgroup testing, and fairness monitoring were absent or inadequate.",Post-deployment,Ongoing pattern,,2021,Distributional,Bias & Discrimination,Severe,Government & Public Services,Severe,P3,Cross-organizational/ecosystem/public-scale
30,https://incidentdatabase.ai/cite/78,2020-07-06,International Baccalaureate Organization,Predictive/Scoring Model,Grade-calculation algorithm produced unexpectedly low scores for students,Education & Workforce,AI-powered educational assessment and grading systems,Distributional,Data/Domain Shift,Incorrect score / prediction / allocation,The grading algorithm produced unexpectedly low predicted scores for large numbers of students.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Grade Calculation → Systematic Downgrading → University Admission Denials → Scholarship Losses → Educational Access Barriers → Financial Hardship → Career Impact → Appeal Process Burden,Immediate,Affected user,Consequence-based,Education / employment; Civil rights / fairness / access; Financial / economic,Severe,"Fairness, Civil Rights & Access",educational assessment inadequacy in emergency deployment,Severe,Inferred,Affected-case review/redress,Data; Model,Statistical algorithm deployed without adequate validation for emergency pandemic context; system relied on historical data that may not have reflected unique COVID-19 circumstances; algorithm systematically biased toward lower grades compared to teacher assessments; insufficient testing and calibration for unprecedented educational disruption scenario,deployment-context validation and drift monitoring,Statistical algorithm deployed without adequate validation for emergency pandemic context; system relied on historical data that may not have reflected unique COVID-19 circumstances; algorithm systematically biased toward lower grades compared to teacher assessments; insufficient testing and calibration for unprecedented educational disruption scenario. Safeguards for deployment-context validation and drift monitoring were absent or inadequate.,Post-deployment,Ongoing pattern,During the COVID-19 emergency grading period.,2020,Distributional,Prediction & Drift,Severe,Education & Workforce,Severe,P3,Cross-organizational/ecosystem/public-scale
31,https://incidentdatabase.ai/cite/80,2020-10-24,Inverness Caledonian Thistle Football Club,Classification/Recognition System,AI ball-tracking camera repeatedly followed a referee’s bald head,Other,AI-powered sports broadcasting and automated camera systems,Operational,Capability Limitation,Misclassification / false positive,The automated camera repeatedly tracked a referee’s bald head instead of the football.,P1 — Single downstream component/decision,Y,Silent,N,AI Object Recognition Error → Camera Tracking Failure → Missed Gameplay Coverage → Viewer Frustration → Entertainment Service Disruption,Immediate,Affected user,Behavioral anomaly,Service / operational; Reputational / trust,Low,Service Reliability & Operations,Computer vision failure in sports broadcasting applications,Low,Inferred,Threshold/configuration adjustment; Organizational/process change,Model,Ball tracking AI lacked sufficient visual discrimination capability to distinguish between football and similarly shaped/colored objects (bald head); computer vision system trained inadequately for visual edge cases; AI object recognition failed under real-world deployment conditions with varied lighting and object similarities.,robust validation for expected edge cases and safe fallback handling,Ball tracking AI lacked sufficient visual discrimination capability to distinguish between football and similarly shaped/colored objects (bald head); computer vision system trained inadequately for visual edge cases; AI object recognition failed under real-world deployment conditions with varied lighting and object similarities. Safeguards for robust validation for expected edge cases and safe fallback handling were absent or inadequate.,Post-deployment,Single event,,2020,Operational,Capability Limitation,Low,Other,Low,P1,Single downstream component/decision
32,https://incidentdatabase.ai/cite/83,2020-10-22,Microsoft (Outlook),Moderation/Filtering/Detection System,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection,Technology & AI Services,AI-powered email filtering and communication systems,Distributional,Bias & Discrimination,Misclassification / false positive,Outlook’s spam filter blocked legitimate messages containing nationality-related terms.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,Biased Training Data → AI Keyword Discrimination → Email Filtering → Communication Barriers → Educational/Employment Opportunity Loss → Systematic Discrimination → Civil Rights Violations,Retrospective,Researcher/media,Pattern/statistical,Civil rights / fairness / access; Education / employment; Service / operational,Moderate,"Fairness, Civil Rights & Access",communication filtering creating nationality-based barriers,High,Inferred,Model retraining/revalidation,Data; Model,"Spam filtering AI trained on biased datasets that associated certain nationalities and geographic terms with spam; historical training data overrepresented Nigerian spam emails (59 out of 1,397 in corpus) while underrepresenting legitimate communications from affected regions; algorithm learned discriminatory patterns without fairness constraints or bias mitigation","representative data, subgroup testing, and fairness monitoring","Spam filtering AI trained on biased datasets that associated certain nationalities and geographic terms with spam; historical training data overrepresented Nigerian spam emails (59 out of 1,397 in corpus) while underrepresenting legitimate communications from affected regions; algorithm learned discriminatory patterns without fairness constraints or bias mitigation. Safeguards for representative data, subgroup testing, and fairness monitoring were absent or inadequate.",Post-deployment,Ongoing pattern,,2020,Distributional,Bias & Discrimination,Moderate,Technology & AI Services,High,P3,Cross-organizational/ecosystem/public-scale
33,https://incidentdatabase.ai/cite/86,2020-10-08,Irish Department of Education and Skills,Predictive/Scoring Model,Coding Errors in Leaving Certificate Grading Algorithm Caused Inaccurate Scores in Ireland,Education & Workforce,AI-driven educational assessment and grading systems,Operational,Design/Implementation Defect,Incorrect score / prediction / allocation,A grading-algorithm coding error inverted subject results and produced incorrect student scores.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Grading Algorithm → Grade Calculation Engine → Student Record System → University Admission System → Educational Institution Capacity Planning → Individual Student Career Impact,Retrospective,Organization,Pattern/statistical,Education / employment; Civil rights / fairness / access; Legal / regulatory,Severe,"Fairness, Civil Rights & Access",Lack of capability or robustness,Severe,Inferred,Legal/regulatory remediation,Software/Implementation,"Critical coding errors in AI grading algorithm: (1) substituted students' worst two subjects for best two subjects in grade calculation, and (2) incorrectly included irrelevant Junior Cycle Civic, Social and Political Education results.","pre-deployment testing, safe configuration, and logic validation","Critical coding errors in AI grading algorithm: (1) substituted students' worst two subjects for best two subjects in grade calculation, and (2) incorrectly included irrelevant Junior Cycle Civic, Social and Political Education results. Root cause attributed to insufficient testing time due to COVID-19 urgency and resource constraints. Algorithm custom-built by contractor Polymetrika using 50,000 lines of code with systematic calculation errors affecting student's grade distribution.",Post-deployment,Ongoing pattern,,2020,Operational,Design & Implementation,Severe,Education & Workforce,Severe,P3,Cross-organizational/ecosystem/public-scale
34,https://incidentdatabase.ai/cite/92,2019-11-11,Goldman Sachs; Apple,Predictive/Scoring Model,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women,"Finance, Retail & Commerce",AI-driven credit scoring and financial risk assessment,Distributional,Bias & Discrimination,Biased / disparate decision,The credit algorithm assigned substantially lower limits to women with comparable financial profiles.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Credit Assessment Algorithm → Credit Limit Decision → Customer Financial Capacity → Purchasing Power Limitation → Credit History Impact → Broader Gender Economic Inequality → Regulatory Investigation → Industry Scrutiny,Delayed,Affected user,Contestation/appeal,Financial / economic; Civil rights / fairness / access; Legal / regulatory,Severe,"Fairness, Civil Rights & Access",Unfair discrimination and misrepresentation,High,Inferred,Legal/regulatory remediation,Data; Model,"AI credit assessment algorithm exhibited systematic gender bias, providing women with credit limits 10-20 times lower than equally qualified men.","representative data, subgroup testing, and fairness monitoring","AI credit assessment algorithm exhibited systematic gender bias, providing women with credit limits 10-20 times lower than equally qualified men. Root causes include: (1) training data reflecting historical gender discrimination patterns in credit, (2) algorithmic amplification of gender-correlated proxy variables, (3) individual-based evaluation ignoring joint financial circumstances, and (4) insufficient bias testing during development. Despite Goldman Sachs' denial of explicit gender consideration, machine learning system perpetuated discriminatory outcomes through indirect gender proxies in credit scoring models.",Post-deployment,Ongoing pattern,,2019,Distributional,Bias & Discrimination,Severe,"Finance, Retail & Commerce",High,P3,Cross-organizational/ecosystem/public-scale
35,https://incidentdatabase.ai/cite/106,2020-12-23,Scatter Lab,Generative/Conversational System,Korean Chatbot Luda Made Offensive Remarks towards Minority Groups,Social Media & Platforms,AI-driven conversational agents and social interaction systems,Mixed/Hybrid,Bias & Discrimination; Content Generation/Filtering Failure,Multiple — specify,The chatbot generated discriminatory speech and exposed personal information from its training conversations.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Content Generation → Hate Speech Output → User Exposure → Social Media Amplification → Community Normalization of Discrimination → Privacy Data Exposure → Regulatory Investigation → Industry AI Ethics Review,Delayed,Affected user,Behavioral anomaly,Civil rights / fairness / access; Privacy / data protection; Psychological / social,Severe,"Fairness, Civil Rights & Access",Exposure to toxic content,Severe,Documented,Service suspension/retirement; Policy/governance change,Data; Model; Software/Implementation,"AI chatbot failure combining multiple critical issues: (1) Training data from 10 billion conversation logs contained biased language patterns that system learned and amplified into systematic hate speech against minorities, (2) Inadequate content filtering allowed discriminatory outputs to reach users, (3) Privacy violations through unauthorized use of 600,000 users' personal conversations without consent, and (4) Data exposure through memorization of personal information in training data. Root causes include biased training data reflecting societal prejudices, insufficient bias testing, inadequate privacy protections, poor data governance, and lack of content safety measures. Represents comprehensive failure across AI safety, bias, and privacy dimensions in conversational AI systems.","representative data, subgroup testing, and fairness monitoring; effective safety filtering and output review","AI chatbot failure combining multiple critical issues: (1) Training data from 10 billion conversation logs contained biased language patterns that system learned and amplified into systematic hate speech against minorities, (2) Inadequate content filtering allowed discriminatory outputs to reach users, (3) Privacy violations through unauthorized use of 600,000 users' personal conversations without consent, and (4) Data exposure through memorization of personal information in training data. Root causes include biased training data reflecting societal prejudices, insufficient bias testing, inadequate privacy protections, poor data governance, and lack of content safety measures. Represents comprehensive failure across AI safety, bias, and privacy dimensions in conversational AI systems.",Post-deployment,Ongoing pattern,"The system affected 750,000 users before shutdown within 20 days.",2020,Mixed/Hybrid,Distributional + Operational,Severe,Social Media & Platforms,Severe,P3,Cross-organizational/ecosystem/public-scale
36,https://incidentdatabase.ai/cite/108,2021-07-10,Idemia; Riverside Arena Skating Rink,Surveillance/Identification System,Skating Rink's Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker,Security & Law Enforcement,AI-driven facial recognition and identity verification systems,Distributional,Bias & Discrimination,Misclassification / false positive,The facial-recognition system falsely identified a Black teenager as a banned patron.,P1 — Single downstream component/decision,Y,Silent,N,AI Facial Recognition → False Identity Match → Security System Alert → Staff Enforcement Action → Individual Exclusion → Civil Rights Violation → Legal Action → Public Awareness,Delayed,Third party,Pattern/statistical,Civil rights / fairness / access; Psychological / social; Reputational / trust,High,"Fairness, Civil Rights & Access",Unequal performance across groups,High,Inferred,Organizational/process change,Data; Model,"Facial recognition system exhibited systematic demographic bias with 10x higher false positive rates for Black women compared to white women, confirmed through NIST government testing.","representative data, subgroup testing, and fairness monitoring","Facial recognition system exhibited systematic demographic bias with 10x higher false positive rates for Black women compared to white women, confirmed through NIST government testing. Root causes include: (1) training data imbalance with underrepresentation of diverse demographics, (2) algorithmic architecture that performs unequally across racial groups, (3) insufficient bias testing during development, and (4) lack of demographic parity requirements in deployment. Specific incident involved 14-year-old Black girl wrongly matched at 97% confidence to banned individual, highlighting real-world consequences of algorithmic bias.",Post-deployment,Single event,,2021,Distributional,Bias & Discrimination,High,Security & Law Enforcement,High,P1,Single downstream component/decision
37,https://incidentdatabase.ai/cite/113,2020-06-27,Facebook (Meta),Recommendation/Ranking System,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men",Social Media & Platforms,AI-driven content classification and recommendation systems,Distributional,Bias & Discrimination,Multiple — specify,Facebook labeled a video featuring Black men as content about primates.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Content Classification → Recommendation Algorithm → User Interface Prompt → User Exposure → Community Harm → Internal Employee Reporting → Public Awareness → Company Investigation,Delayed,Operator,Behavioral anomaly,Civil rights / fairness / access; Psychological / social; Reputational / trust,High,"Fairness, Civil Rights & Access",Unfair discrimination and misrepresentation,High,Inferred,Model retraining/revalidation,Data; Model,"AI content recommendation system generated deeply offensive racial classification by associating video of Black men with 'Primates' category, prompting users to see more 'primate' content.","representative data, subgroup testing, and fairness monitoring","AI content recommendation system generated deeply offensive racial classification by associating video of Black men with 'Primates' category, prompting users to see more 'primate' content. Root causes include: (1) training data containing historical racist associations and stereotypes, (2) insufficient bias testing in content classification algorithms, (3) lack of racial sensitivity filtering in recommendation prompts, (4) algorithmic amplification of harmful stereotypical patterns, and (5) inadequate human oversight of AI-generated content labels. Represents systemic failure in AI content understanding that perpetuated racist stereotypes through automated recommendation system affecting potentially thousands of users across Facebook platform.",Post-deployment,Ongoing pattern,,2020,Distributional,Bias & Discrimination,High,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
38,https://incidentdatabase.ai/cite/114,2018-07-26,Amazon,Surveillance/Identification System,Amazon's Rekognition Falsely Matched Members of Congress to Mugshots,Security & Law Enforcement,AI-driven facial recognition and law enforcement surveillance systems,Distributional,Bias & Discrimination,Misclassification / false positive,Amazon Rekognition falsely matched members of Congress to arrest photographs.,P1 — Single downstream component/decision,Y,Silent,N,AI Facial Recognition → False Identity Match → Law Enforcement Database Alert → Potential Investigation → Civil Rights Violation → Public Scrutiny → ACLU Testing → Industry-wide Bias Awareness,Retrospective,Third party,Pattern/statistical,Civil rights / fairness / access; Legal / regulatory; Reputational / trust,High,"Fairness, Civil Rights & Access",Unequal performance across groups,Severe,Inferred,Model retraining/revalidation,Data; Model,"Amazon Rekognition facial recognition system exhibited systematic racial bias in ACLU testing, falsely matching 28 Congress members to mugshots with 2x higher error rates for people of color (40% false matches vs 20% demographic representation).","representative data, subgroup testing, and fairness monitoring","Amazon Rekognition facial recognition system exhibited systematic racial bias in ACLU testing, falsely matching 28 Congress members to mugshots with 2x higher error rates for people of color (40% false matches vs 20% demographic representation). Root causes include: (1) training data imbalance with underrepresentation of diverse demographics, (2) algorithmic architecture performing unequally across racial groups, (3) insufficient bias testing during development, (4) lack of demographic parity requirements, and (5) inadequate accuracy thresholds for law enforcement deployment. System already deployed in Oregon law enforcement with potential for wrongful investigations and civil rights violations.",Post-deployment,Ongoing pattern,,2018,Distributional,Bias & Discrimination,High,Security & Law Enforcement,Severe,P1,Single downstream component/decision
39,https://incidentdatabase.ai/cite/115,2020-07-28,Genderify (Arevik Gasparyan),Classification/Recognition System,Genderify's AI to Predict a Person's Gender Revealed by Free API Users to Exhibit Bias,Technology & AI Services,AI-driven demographic analysis and marketing segmentation systems,Distributional,Bias & Discrimination,Biased / disparate decision,The gender-classification API produced strongly stereotyped gender predictions for occupations and attributes.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Gender Classification → Business Analytics → Marketing Segmentation → HR Decision Support → Systematic Gender Discrimination → Professional Stereotype Reinforcement → Public Backlash → Service Shutdown,Immediate,Affected user,Pattern/statistical,Civil rights / fairness / access; Education / employment; Reputational / trust,Moderate,"Fairness, Civil Rights & Access",Unfair discrimination and misrepresentation,Very High,Documented,Service suspension/retirement,Data; Model,AI gender classification algorithm demonstrated severe gender bias by learning and amplifying historical professional stereotypes from training data.,"representative data, subgroup testing, and fairness monitoring","AI gender classification algorithm demonstrated severe gender bias by learning and amplifying historical professional stereotypes from training data. Root causes include: (1) biased training data reflecting historical gender disparities in professional fields, (2) inadequate bias testing during development, (3) binary gender classification excluding non-binary individuals, (4) algorithmic amplification of gender-profession associations, and (5) insufficient diversity in development team perspectives. System designed for business analytics and marketing could have systematically discriminated against women and gender minorities in customer segmentation and targeting.",Post-deployment,Ongoing pattern,,2020,Distributional,Bias & Discrimination,Moderate,Technology & AI Services,Very High,P3,Cross-organizational/ecosystem/public-scale
40,https://incidentdatabase.ai/cite/116,2021-09-20,Amazon; Netradyne,Surveillance/Identification System,Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make,Education & Workforce,AI-driven workplace surveillance and performance monitoring systems,Operational,Capability Limitation,Misclassification / false positive,Driver-monitoring cameras incorrectly recorded safe driving behavior as policy violations and penalized drivers.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,AI Camera Detection → False Violation Classification → Driver Performance Scoring → Bonus Calculation → Delivery Company Payment → Financial Loss → Worker Economic Impact → Employment Surveillance Normalization,Delayed,Affected user,Contestation/appeal,Education / employment; Financial / economic; Privacy / data protection,Severe,"Fairness, Civil Rights & Access",Lack of capability or robustness,High,Inferred,Affected-case review/redress; Organizational/process change,Model,"AI surveillance system failed to reliably distinguish between driver-controlled violations and external circumstances, generating systematic false positives affecting driver income and employment.",robust validation for expected edge cases and safe fallback handling,"AI surveillance system failed to reliably distinguish between driver-controlled violations and external circumstances, generating systematic false positives affecting driver income and employment. Root causes include: (1) insufficient training data for complex real-world driving scenarios, (2) inadequate context awareness for external factors (other drivers, road conditions), (3) binary violation classification without nuance for driver agency, (4) lack of robust appeal mechanisms for false positives, and (5) high-stakes performance scoring tied to AI decisions. System deployed across 57,500+ drivers with 40% of company scorecard tied to AI-generated safety metrics, creating massive financial impact through false penalties.",Post-deployment,Recurring incidents,driver complaints accumulated across more than seven months,2021,Operational,Capability Limitation,Severe,Education & Workforce,High,P2,Multi-component/workflow/system-wide
41,https://incidentdatabase.ai/cite/117,2020-02-24,TikTok,Recommendation/Ranking System,"TikTok's ""Suggested Accounts"" Algorithm Allegedly Reinforced Racial Bias through Feedback Loops",Social Media & Platforms,AI-driven social media content recommendation and user discovery systems,Distributional,Bias & Discrimination,Incorrect recommendation / ranking / amplification,TikTok’s account recommendations formed appearance-based clusters that reinforced racial and demographic similarity.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Recommendation Algorithm → User Following Suggestions → Appearance-Based Clustering → Creator Visibility Reduction → Follower Growth Limitation → Content Monetization Impact → Platform Segregation → Social Filter Bubble Reinforcement,Retrospective,Researcher/media,Pattern/statistical,Civil rights / fairness / access; Financial / economic; Education / employment,High,"Fairness, Civil Rights & Access",Unfair discrimination and misrepresentation,High,Inferred,Model retraining/revalidation,Data; Model,"TikTok's collaborative filtering recommendation system amplified existing user behavior biases, creating systematic racial segregation in user suggestions through feedback loops.","representative data, subgroup testing, and fairness monitoring","TikTok's collaborative filtering recommendation system amplified existing user behavior biases, creating systematic racial segregation in user suggestions through feedback loops. Root causes include: (1) collaborative filtering learning from biased user following patterns reflecting societal prejudices, (2) algorithmic amplification of appearance-based similarities in recommendation logic, (3) feedback loops where initial bias becomes self-reinforcing through continued similar recommendations, (4) insufficient bias testing for demographic fairness in recommendation systems, and (5) lack of cross-demographic recommendation diversity requirements. System created ""face-based filter bubbles"" making it systematically harder for underrepresented creators to gain followers and visibility compared to creators fitting platform's apparent appearance preferences.",Post-deployment,Ongoing pattern,,2020,Distributional,Bias & Discrimination,High,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
42,https://incidentdatabase.ai/cite/646,2024-02-22,Snapchat,Recommendation/Ranking System,Snapchat's Algorithm Alleged to Link Minor with Sex Offenders,Social Media & Platforms,AI-driven social media user discovery and recommendation systems,Operational,Safety Validation/Oversight Gap,Incorrect recommendation / ranking / amplification,Snapchat’s account-recommendation feature connected a minor with convicted sex offenders.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,AI User Recommendation → Minor-Predator Connection → Inappropriate Content Exposure → Grooming Behavior → Physical Meeting → Sexual Assault → Legal Proceedings → Platform Liability,Delayed,Regulator/legal,Contestation/appeal,Physical safety / health; Psychological / social; Legal / regulatory,High,Safety & Health,Overreliance and unsafe use,Severe,Inferred,Major algorithm redesign; Legal/regulatory remediation,Human/Organizational Governance; Operational Process,"Snapchat's AI recommendation algorithm failed to implement adequate child safety protections, systematically connecting minor with convicted sex offenders through ""Quick Add"" feature, resulting in sexual assault.",independent safety validation and meaningful human oversight,"Snapchat's AI recommendation algorithm failed to implement adequate child safety protections, systematically connecting minor with convicted sex offenders through ""Quick Add"" feature, resulting in sexual assault. Root causes include: (1) insufficient background check integration in user matching algorithms, (2) inadequate age-based safety filtering in recommendation logic, (3) failure to detect and prevent predatory behavior patterns, (4) insufficient content moderation for protecting minors, (5) algorithmic optimization for engagement over safety considerations, and (6) inadequate systematic monitoring for dangerous user connections. Algorithm allegedly designed to detect adult accounts seeking young girls and systematically direct more minors to predators, representing catastrophic failure of child protection measures in AI-driven social platforms.",Post-deployment,Ongoing pattern,,2024,Operational,Safety Validation,High,Social Media & Platforms,Severe,P2,Multi-component/workflow/system-wide
