field,annotator_c,annotator_d,count
Risk Domain,"Social, Psychological & Trust",Information Integrity & Content Harm,2
Risk Domain,"Social, Psychological & Trust","Social, Psychological & Trust",4
Recovery Evidence Status,Documented,Documented,16
Recovery Evidence Status,Documented,Inferred,1
Recovery Evidence Status,IE,Documented,9
Recovery Evidence Status,IE,IE,1
Recovery Evidence Status,IE,Inferred,18
Lifecycle Phase,Deployment/Rollout,Deployment/Rollout,2
Lifecycle Phase,Post-deployment,Deployment/Rollout,1
Lifecycle Phase,Post-deployment,Post-deployment,42
Temporal Pattern,Ongoing pattern,Ongoing pattern,14
Temporal Pattern,Ongoing pattern,Single event,1
Temporal Pattern,Recurring incidents,Ongoing pattern,2
Temporal Pattern,Recurring incidents,Recurring incidents,8
Temporal Pattern,Recurring incidents,Single event,2
Temporal Pattern,Single event,Ongoing pattern,1
Temporal Pattern,Single event,Recurring incidents,1
Temporal Pattern,Single event,Single event,16
Propagation Reach,P1,P1,3
Propagation Reach,P2,P1,2
Propagation Reach,P2,P2,9
Propagation Reach,P2,P3,5
Propagation Reach,P3,P1,1
Propagation Reach,P3,P2,1
Propagation Reach,P3,P3,24
Risk Assessment,Critical,Critical,5
Risk Assessment,High,High,28
Risk Assessment,High,Severe,3
Risk Assessment,Moderate,Moderate,4
Risk Assessment,Severe,High,1
Risk Assessment,Severe,Severe,4
Recovery Complexity,High,High,5
Recovery Complexity,High,Moderate,2
Recovery Complexity,High,Severe,1
Recovery Complexity,IE,High,8
Recovery Complexity,IE,IE,1
Recovery Complexity,IE,Low,1
Recovery Complexity,IE,Moderate,15
Recovery Complexity,IE,Severe,3
Recovery Complexity,Moderate,High,3
Recovery Complexity,Moderate,Moderate,4
Recovery Complexity,Severe,High,1
Recovery Complexity,Severe,Very High,1
